real,previsto,erro,erro_absoluto,erro_relativo
46.1,43.453934,2.646066284179689,2.646066284179689,5.739840095834467
53.88,51.249218,2.6307820129394557,2.6307820129394557,4.882668917853481
49.62,47.046432,2.57356750488281,2.57356750488281,5.18655281113021
47.14,44.5976,2.542400970458985,2.542400970458985,5.3932986221022166
51.35,48.83144,2.5185600280761733,2.5185600280761733,4.9046933360782345
52.41,49.89584,2.514160308837887,2.514160308837887,4.797100379389215
51.29,48.78553,2.504469909667968,2.504469909667968,4.882959465135441
43.48,41.096893,2.383106689453122,2.383106689453122,5.480926148696233
44.93,42.624107,2.305892639160156,2.305892639160156,5.132189270331974
48.84,46.539753,2.3002470397949253,2.3002470397949253,4.709760523740633
