Real,Predicted,Absolute_Error,Residuals,Relative_Error(%)
45.0,40.766649544239044,4.233350455760956,4.233350455760956,9.407445455156024
22.75,18.78810805082321,3.9618919491767883,3.9618919491767883,17.414909659056253
29.24,33.145058542490005,3.905058542490007,-3.905058542490007,13.355193369201396
47.4,43.60259038209915,3.797409617900847,3.797409617900847,8.011412694303177
43.7,40.05766433477402,3.6423356652259855,3.6423356652259855,8.334864220577801
43.12,39.52592542767525,3.5940745723247502,3.5940745723247502,8.335052345758918
32.08,35.6265067756176,3.546506775617601,-3.546506775617601,11.055195681147387
30.2,33.676797449588776,3.4767974495887763,-3.4767974495887763,11.512574332574566
26.03,22.68752670288086,3.3424732971191418,3.3424732971191418,12.840850156876899
30.16,33.49955114722252,3.339551147222519,-3.339551147222519,11.072782314705705
