Real,Predicted,Absolute_Error,Residuals,Relative_Error(%)
33.78,29.259349405765533,4.520650594234468,4.520650594234468,13.382624608928968
49.23,45.49356907606125,3.736430923938748,3.736430923938748,7.589743902457391
35.97,32.46843934059143,3.501560659408568,3.501560659408568,9.734669609216295
40.08,36.621379256248474,3.458620743751524,3.458620743751524,8.629293270680128
44.76,41.529399156570435,3.2306008434295634,3.2306008434295634,7.217606887193482
40.55,37.37645924091339,3.173540759086606,3.173540759086606,7.826241080897613
45.21,42.09570914506912,3.1142908549308785,3.1142908549308785,6.888500009382943
23.18,20.19838958978653,2.98161041021347,2.98161041021347,12.862857674405454
29.64,26.805339455604553,2.8346605443954473,2.8346605443954473,9.5636320628849
29.19,26.427799463272095,2.7622005367279066,2.7622005367279066,9.462831571708199
