arquivo,real_kWh,previsto_kWh,erro_absoluto,erro_relativo_%
amostra_2650_3514.54.npy,3514.54,3174.999,339.54097656249996,9.661036054860665
amostra_1265_3609.36.npy,3609.36,3271.936,337.4239648437501,9.34858160016596
amostra_2996_4234.97.npy,4234.97,3914.4102,320.55984375000025,7.569353354333094
amostra_0245_2543.64.npy,2543.64,2230.0505,313.5894628906249,12.328374411891026
amostra_3156_3293.24.npy,3293.24,2988.9053,304.3347265624998,9.241194888999885
amostra_1170_3672.31.npy,3672.31,3370.336,301.97406249999995,8.223000304985144
amostra_0127_4243.04.npy,4243.04,3941.0789,301.96114257812496,7.116622576693244
amostra_2845_3314.52.npy,3314.52,3012.963,301.557109375,9.098062747396304
amostra_1388_4026.16.npy,4026.16,3725.2305,300.92953124999985,7.474355993055415
amostra_2591_3499.34.npy,3499.34,3198.9482,300.39175781250015,8.584240394260064
